N = 10,,,,,
FCFS,PSJF,R1,R2,R3,
43.6,24.3,40.6,42.3,45.6,
33.9,19.2,31.8,31.5,29.7,
47.3,33,56.7,55.8,58.4,
40.5,27.6,46.6,48,44.9,
18.9,10.5,16.9,17.4,17.6,
24.2,17.7,28.9,28.7,29.6,
53.5,34.8,58.2,58.3,56,
15.2,9.9,15,15.3,15.5,
55.9,31.7,54.7,56.8,56.7,
37.7,23.1,38.8,39.2,41.1,
37.07,23.18,38.82,39.33,39.51,
,,,,,
,,,,,
N=50,,,,,
FCFS,PSJF,R1,R2,R3,
163.88,101.4,183.16,184.84,183.58,
191.26,122.34,226.66,228.84,227.34,
199.82,130.08,239.92,238.28,238.96,
166.86,105.52,193.22,191.86,186,
177.04,115.86,212.4,210.78,204.32,
174.1,116.62,216.84,215.2,206.66,
191.04,107.58,199.2,204.1,202.76,
179.54,107.04,196.72,197.76,199.86,
206.94,151.72,281.1,280.32,265.52,
170.98,102.62,188.8,189.22,193.84,
182.146,116.078,213.802,214.12,210.884,
,,,,,
,,,,,
N=100,,,,,
FCFS,PSJF,R1,R2,R3,
344.86,193.85,360.78,363.61,361.24,
415.36,251.01,473.1,476.67,471.22,
402.63,237.8,447.16,448.05,440.49,
347.21,210.58,390.17,387.39,376.44,
326.25,202.76,375.3,372.56,366.22,
398.61,244.01,458.77,459.7,461.96,
346.53,196.81,363.44,365.95,375.29,
405.4,234.36,441.65,447.67,458.49,
338.64,217.65,402.56,401.39,383.42,
369.81,243.98,455.46,453.64,431.22,
369.53,223.281,416.839,417.663,412.599,
,,,,,
,,,,,
,FCFS,PSJF,R1,R2,R3
10,37.07,23.18,38.82,39.33,39.51
50,182.146,116.078,213.802,214.12,210.884
100,369.53,223.281,416.839,417.663,412.599
,,,,,
,10,50,100,,
FCFS,37.07,182.146,369.53,,
PSJF,23.18,116.078,223.281,,
R1,38.82,213.802,416.839,,
R2,39.33,214.12,417.663,,
R3,39.51,210.884,412.599,,
